harness,task,model,run,capability_mode,telemetry_trust,tool_set,build_ok,test_ok,in_tok,out_tok,cost_usd,model_calls,telemetry_note,latency_s,workdir,transcript_path,error
raw_api,re-bug1-favorite-count,minimax/minimax-m3,1,single_shot,exact,,True,True,830,742,0.0011,1,legacy raw_api row; one OpenRouter request,16.5,results\re-bug1-favorite-count__minimax_minimax-m3__r1,results\re-bug1-favorite-count__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,re-bug1-favorite-count,minimax/minimax-m3,2,single_shot,exact,,True,True,830,820,0.0012,1,legacy raw_api row; one OpenRouter request,35.3,results\re-bug1-favorite-count__minimax_minimax-m3__r2,results\re-bug1-favorite-count__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,re-bug1-favorite-count,minimax/minimax-m3,3,single_shot,exact,,True,True,830,969,0.0014,1,legacy raw_api row; one OpenRouter request,17.3,results\re-bug1-favorite-count__minimax_minimax-m3__r3,results\re-bug1-favorite-count__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,re-bug1-favorite-count,deepseek/deepseek-v4-flash,1,single_shot,exact,,True,True,699,579,0.0002,1,legacy raw_api row; one OpenRouter request,35.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r1,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
raw_api,re-bug1-favorite-count,deepseek/deepseek-v4-flash,2,single_shot,exact,,True,True,699,898,0.0002,1,legacy raw_api row; one OpenRouter request,8.7,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r2,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r2/_raw_response.txt,
raw_api,re-bug1-favorite-count,deepseek/deepseek-v4-flash,3,single_shot,exact,,True,True,699,803,0.0002,1,legacy raw_api row; one OpenRouter request,8.3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r3,results\re-bug1-favorite-count__deepseek_deepseek-v4-flash__r3/_raw_response.txt,
raw_api,re-bug1-favorite-count,z-ai/glm-4.7,1,single_shot,exact,,True,True,610,1267,0.0025,1,legacy raw_api row; one OpenRouter request,16.7,results\re-bug1-favorite-count__z-ai_glm-4.7__r1,results\re-bug1-favorite-count__z-ai_glm-4.7__r1/_raw_response.txt,
raw_api,re-bug1-favorite-count,z-ai/glm-4.7,2,single_shot,exact,,True,True,610,1303,0.0025,1,legacy raw_api row; one OpenRouter request,29.2,results\re-bug1-favorite-count__z-ai_glm-4.7__r2,results\re-bug1-favorite-count__z-ai_glm-4.7__r2/_raw_response.txt,
raw_api,re-bug1-favorite-count,z-ai/glm-4.7,3,single_shot,exact,,True,True,610,1658,0.0031,1,legacy raw_api row; one OpenRouter request,21.5,results\re-bug1-favorite-count__z-ai_glm-4.7__r3,results\re-bug1-favorite-count__z-ai_glm-4.7__r3/_raw_response.txt,
raw_api,re-feat1-reading-time,minimax/minimax-m3,1,single_shot,exact,,True,True,333,572,0.0008,1,legacy raw_api row; one OpenRouter request,7.9,results\re-feat1-reading-time__minimax_minimax-m3__r1,results\re-feat1-reading-time__minimax_minimax-m3__r1/_raw_response.txt,
raw_api,re-feat1-reading-time,minimax/minimax-m3,2,single_shot,exact,,True,True,333,1131,0.0015,1,legacy raw_api row; one OpenRouter request,16.6,results\re-feat1-reading-time__minimax_minimax-m3__r2,results\re-feat1-reading-time__minimax_minimax-m3__r2/_raw_response.txt,
raw_api,re-feat1-reading-time,minimax/minimax-m3,3,single_shot,exact,,True,True,333,707,0.0009,1,legacy raw_api row; one OpenRouter request,10.5,results\re-feat1-reading-time__minimax_minimax-m3__r3,results\re-feat1-reading-time__minimax_minimax-m3__r3/_raw_response.txt,
raw_api,re-feat1-reading-time,deepseek/deepseek-v4-flash,1,single_shot,exact,,True,True,166,374,0.0001,1,legacy raw_api row; one OpenRouter request,4.5,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r1,results\re-feat1-reading-time__deepseek_deepseek-v4-flash__r1/_raw_response.txt,
